<strong>1.2</strong>;<strong>Сведения об экспертной организации</strong>
1.2.1;Название организации: Общество с ограниченной ответственностью «ГАЗМАШПРОЕКТ» (ООО «ГАЗМАШПРОЕКТ»).
1.2.2;Организационно-правовая форма: Общество с ограниченной ответственностью
1.2.3;Юридический адрес: 142702, Московская обл., Ленинский р-н, г. Видное, проезд Футбольный 2-й, д.11
1.2.4;Почтовый адрес: 115533, г. Москва, ул. Нагатинская, д.5
1.2.5;Телефон: (495) 229-23-04
1.2.6;Факс: (495) 229-23-04
1.2.7;E-mail: mosgmp@zaogmp.ru
1.2.8;Лицензия № ДЭ-00-012780 от 03.06.2011 г. на осуществление деятельности по проведению экспертизы промышленной безопасности.
1.2.9;Свидетельство об аккредитации № 766-Э/ТД, выдано 11.02.2015 г. управлением энергетики ОАО «Газпром», действительно по 11.02.2018 г.
1.2.10;Свидетельство об аттестации лаборатории неразрушающего контроля № 61А010877, действительно до 01.03.2016 г.
1.2.11;Свидетельство о регистрации электролаборатории № О-103 от 20 января 2015 года.
